names,scores,logfoldchanges,pvals,pvals_adj,pct_agg,pct_ctrl,cell_type
ACP5,-1.4820715,-1.5007923,0.138321267,0.411180937,0.290498489,0.089616636,Unassigned
SCUBE1,-1.4855775,-3.6408029,0.137390926,0.408901565,0.168454745,0.12823596,Unassigned
SOX7,-1.5278351,-1.1666533,0.126553474,0.380841029,0.392330034,0.149879757,Unassigned
CCR6,-1.5542872,-2.454973,0.120115923,0.363327052,0.1472349,0.037204697,Unassigned
CXCL14,-1.6131454,-1.8062791,0.106712931,0.327943858,0.192519708,0.307186306,Unassigned
PPARGC1A,-1.6173697,-1.0513448,0.10579851,0.325431697,0.688400213,0.425095487,Unassigned
MT-TM,-1.6183237,-0.6240257,0.105592859,0.324901105,0.563689171,0.326849625,Unassigned
DCN,-1.6228435,-0.1676517,0.104622865,0.322511916,0.264951692,0.243740274,Unassigned
MSC,-1.633465,-0.5875558,0.10237122,0.316155712,0.593029459,0.358042156,Unassigned
DSCAM-AS1,-1.634963,-8.757021,0.102056809,0.315476998,0.143382135,0.09711416,Unassigned
ACAP1,-1.6423894,-0.8506442,0.100509325,0.311270749,0.576136566,0.350190975,Unassigned
IGLC3,-1.6471748,-2.5563989,0.099522121,0.308883056,0.320964969,0.131135946,Unassigned
VWF,-1.6973729,-1.6731845,0.089626181,0.28052013,0.101238812,0.069528929,Unassigned
ACVRL1,-1.7133913,-1.3290433,0.086640583,0.272283416,0.19666884,0.093719055,Unassigned
CPEB2,-1.7141122,-0.5271748,0.086508124,0.272038125,0.102779918,0.102914132,Unassigned
CXCL12,-1.7260922,-0.9351721,0.084330827,0.265943951,0.145990161,0.131843259,Unassigned
IRF8,-1.7355572,-1.70969,0.082642152,0.261112644,0.141248296,0.09400198,Unassigned
PDGFRL,-1.7404929,-1.4419405,0.081772502,0.258773739,0.684665995,0.450983166,Unassigned
PAG1,-1.7547338,-0.40194878,0.079304853,0.252081541,0.448046944,0.119606734,Unassigned
GNG2,-1.7622736,-0.7602079,0.078023081,0.248322984,0.18896331,0.209506295,Unassigned
FEM1C,-1.7652911,-0.2501771,0.077514862,0.246862618,0.323276629,0.247559768,Unassigned
PTPN7,-1.768299,-1.6209576,0.077010938,0.245414081,0.250726098,0.181991795,Unassigned
TRPM7,-1.7707496,-0.17283574,0.07660235,0.244267699,0.295418173,0.038619324,Unassigned
